tick, C0 sequence, C0 pattern, C0 pattern name, C0 row, C0 note, C1 sequence, C1 pattern, C1 pattern name, C1 row, C1 note
316, 4, 10, left 6, 60,  61:    |, 4, 11, right 6, 60,  61:    |
317, 4, 10, left 6, 61,  62:    |, 4, 11, right 6, 61,  62:    |
318, 4, 10, left 6, 62,  63:    |, 4, 11, right 6, 62,  63:    |
319, 4, 10, left 6, 63,  64:    |, 4, 11, right 6, 63,  64:    |
320, 5, 12, left 7, 0,   1:    |, 5, 13, right 7, 0,   1: F#2 I2 16
321, 5, 12, left 7, 1,   2:    |, 5, 13, right 7, 1,   2:    |
322, 5, 12, left 7, 2,   3: C#4 I1 45, 5, 13, right 7, 2,   3:    |
323, 5, 12, left 7, 3,   4:    |, 5, 13, right 7, 3,   4:    |
324, 5, 12, left 7, 4,   5: C#4 I1 45, 5, 13, right 7, 4,   5:    |
325, 5, 12, left 7, 5,   6:    |, 5, 13, right 7, 5,   6:   ---
326, 5, 12, left 7, 6,   7: A#3 I1 48, 5, 13, right 7, 6,   7: G#2 I2 14
327, 5, 12, left 7, 7,   8:    |, 5, 13, right 7, 7,   8:    |
328, 5, 12, left 7, 8,   9: C#4 I1 45, 5, 13, right 7, 8,   9:    |
329, 5, 12, left 7, 9,  10:    |, 5, 13, right 7, 9,  10:    |
330, 5, 12, left 7, 10,  11: D#4 I1 44, 5, 13, right 7, 10,  11:    |
331, 5, 12, left 7, 11,  12:    |, 5, 13, right 7, 11,  12:   ---
332, 5, 12, left 7, 12,  13:    |, 5, 13, right 7, 12,  13:    |
333, 5, 12, left 7, 13,  14:    |, 5, 13, right 7, 13,  14:    |
334, 5, 12, left 7, 14,  15:    |, 5, 13, right 7, 14,  15:    |
335, 5, 12, left 7, 15,  16:   ---, 5, 13, right 7, 15,  16:    |
336, 5, 12, left 7, 16,  17:    |, 5, 13, right 7, 16,  17: F-2 I2 17
337, 5, 12, left 7, 17,  18:    |, 5, 13, right 7, 17,  18:    |
338, 5, 12, left 7, 18,  19: C-4 I1 46, 5, 13, right 7, 18,  19:    |
339, 5, 12, left 7, 19,  20:    |, 5, 13, right 7, 19,  20:    |
340, 5, 12, left 7, 20,  21: A#3 I1 48, 5, 13, right 7, 20,  21:    |
341, 5, 12, left 7, 21,  22:    |, 5, 13, right 7, 21,  22:   ---
342, 5, 12, left 7, 22,  23: G#3 I1 50, 5, 13, right 7, 22,  23: F#2 I2 16
343, 5, 12, left 7, 23,  24:    |, 5, 13, right 7, 23,  24:    |
344, 5, 12, left 7, 24,  25:    |, 5, 13, right 7, 24,  25:    |
345, 5, 12, left 7, 25,  26:    |, 5, 13, right 7, 25,  26:    |
346, 5, 12, left 7, 26,  27:    |, 5, 13, right 7, 26,  27:    |
347, 5, 12, left 7, 27,  28:    |, 5, 13, right 7, 27,  28:   ---
348, 5, 12, left 7, 28,  29:   ---, 5, 13, right 7, 28,  29:    |
349, 5, 12, left 7, 29,  30:    |, 5, 13, right 7, 29,  30:    |
350, 5, 12, left 7, 30,  31:    |, 5, 13, right 7, 30,  31:    |
351, 5, 12, left 7, 31,  32:    |, 5, 13, right 7, 31,  32:    |
352, 5, 12, left 7, 32,  33:    |, 5, 13, right 7, 32,  33: F#2 I2 16
353, 5, 12, left 7, 33,  34:    |, 5, 13, right 7, 33,  34:    |
354, 5, 12, left 7, 34,  35: A#3 I1 48, 5, 13, right 7, 34,  35:    |
355, 5, 12, left 7, 35,  36:    |, 5, 13, right 7, 35,  36:    |
356, 5, 12, left 7, 36,  37: A#3 I1 48, 5, 13, right 7, 36,  37:    |
357, 5, 12, left 7, 37,  38:    |, 5, 13, right 7, 37,  38:   ---
358, 5, 12, left 7, 38,  39: C-4 I1 46, 5, 13, right 7, 38,  39: G#2 I2 14
359, 5, 12, left 7, 39,  40:    |, 5, 13, right 7, 39,  40:    |
360, 5, 12, left 7, 40,  41: C#4 I1 45, 5, 13, right 7, 40,  41:    |
361, 5, 12, left 7, 41,  42:    |, 5, 13, right 7, 41,  42:    |
362, 5, 12, left 7, 42,  43: A#3 I1 48, 5, 13, right 7, 42,  43:    |
363, 5, 12, left 7, 43,  44:    |, 5, 13, right 7, 43,  44:   ---
364, 5, 12, left 7, 44,  45: G#3 I1 50, 5, 13, right 7, 44,  45:    |
365, 5, 12, left 7, 45,  46:    |, 5, 13, right 7, 45,  46:    |
366, 5, 12, left 7, 46,  47:    |, 5, 13, right 7, 46,  47:    |
367, 5, 12, left 7, 47,  48:    |, 5, 13, right 7, 47,  48:    |
368, 5, 12, left 7, 48,  49:    |, 5, 13, right 7, 48,  49: F-2 I2 17
369, 5, 12, left 7, 49,  50:    |, 5, 13, right 7, 49,  50:    |
370, 5, 12, left 7, 50,  51: G#4 I1 28, 5, 13, right 7, 50,  51:    |
371, 5, 12, left 7, 51,  52:    |, 5, 13, right 7, 51,  52:    |
372, 5, 12, left 7, 52,  53: G#4 I1 28, 5, 13, right 7, 52,  53:    |
373, 5, 12, left 7, 53,  54:    |, 5, 13, right 7, 53,  54:   ---
374, 5, 12, left 7, 54,  55: D#4 I1 44, 5, 13, right 7, 54,  55: F#2 I2 16
375, 5, 12, left 7, 55,  56:    |, 5, 13, right 7, 55,  56:    |
376, 5, 12, left 7, 56,  57:    |, 5, 13, right 7, 56,  57:    |
377, 5, 12, left 7, 57,  58:    |, 5, 13, right 7, 57,  58:    |
378, 5, 12, left 7, 58,  59: F-4 I1 42, 5, 13, right 7, 58,  59:    |
379, 5, 12, left 7, 59,  60:    |, 5, 13, right 7, 59,  60:   ---
380, 5, 12, left 7, 60,  61: D#4 I1 44, 5, 13, right 7, 60,  61:    |
381, 5, 12, left 7, 61,  62:    |, 5, 13, right 7, 61,  62:    |
382, 5, 12, left 7, 62,  63: C#4 I1 45, 5, 13, right 7, 62,  63:    |
383, 5, 12, left 7, 63,  64:    |, 5, 13, right 7, 63,  64:    |
384, 6, 14, left 8, 0,   1:    |, 6, 15, right 8, 0,   1: F#2 I2 16
385, 6, 14, left 8, 1,   2:    |, 6, 15, right 8, 1,   2:    |
386, 6, 14, left 8, 2,   3: A#3 I1 48, 6, 15, right 8, 2,   3:    |
387, 6, 14, left 8, 3,   4:    |, 6, 15, right 8, 3,   4:    |
388, 6, 14, left 8, 4,   5: A#3 I1 48, 6, 15, right 8, 4,   5:    |
389, 6, 14, left 8, 5,   6:    |, 6, 15, right 8, 5,   6:   ---
390, 6, 14, left 8, 6,   7: C-4 I1 46, 6, 15, right 8, 6,   7: G#2 I2 14
391, 6, 14, left 8, 7,   8:    |, 6, 15, right 8, 7,   8:    |
392, 6, 14, left 8, 8,   9: C#4 I1 45, 6, 15, right 8, 8,   9:    |
393, 6, 14, left 8, 9,  10:    |, 6, 15, right 8, 9,  10:    |
394, 6, 14, left 8, 10,  11: A#3 I1 48, 6, 15, right 8, 10,  11:    |
395, 6, 14, left 8, 11,  12:    |, 6, 15, right 8, 11,  12:   ---
396, 6, 14, left 8, 12,  13: C#4 I1 45, 6, 15, right 8, 12,  13:    |
397, 6, 14, left 8, 13,  14:    |, 6, 15, right 8, 13,  14:    |
398, 6, 14, left 8, 14,  15: D#4 I1 44, 6, 15, right 8, 14,  15:    |
399, 6, 14, left 8, 15,  16:    |, 6, 15, right 8, 15,  16:    |
400, 6, 14, left 8, 16,  17:    |, 6, 15, right 8, 16,  17: F-2 I2 17
401, 6, 14, left 8, 17,  18:    |, 6, 15, right 8, 17,  18:    |
402, 6, 14, left 8, 18,  19: C-4 I1 46, 6, 15, right 8, 18,  19:    |
403, 6, 14, left 8, 19,  20:    |, 6, 15, right 8, 19,  20:    |
404, 6, 14, left 8, 20,  21: A#3 I1 48, 6, 15, right 8, 20,  21:    |
405, 6, 14, left 8, 21,  22:    |, 6, 15, right 8, 21,  22:   ---
406, 6, 14, left 8, 22,  23: G#3 I1 50, 6, 15, right 8, 22,  23: F#2 I2 16
407, 6, 14, left 8, 23,  24:    |, 6, 15, right 8, 23,  24:    |
408, 6, 14, left 8, 24,  25:    |, 6, 15, right 8, 24,  25:    |
409, 6, 14, left 8, 25,  26:    |, 6, 15, right 8, 25,  26:    |
410, 6, 14, left 8, 26,  27:    |, 6, 15, right 8, 26,  27:    |
411, 6, 14, left 8, 27,  28:    |, 6, 15, right 8, 27,  28:   ---
412, 6, 14, left 8, 28,  29:   ---, 6, 15, right 8, 28,  29:    |
413, 6, 14, left 8, 29,  30:    |, 6, 15, right 8, 29,  30:    |
414, 6, 14, left 8, 30,  31:    |, 6, 15, right 8, 30,  31:    |
415, 6, 14, left 8, 31,  32:    |, 6, 15, right 8, 31,  32:    |
416, 6, 14, left 8, 32,  33:    |, 6, 15, right 8, 32,  33: F#2 I2 16
417, 6, 14, left 8, 33,  34:    |, 6, 15, right 8, 33,  34:    |
418, 6, 14, left 8, 34,  35: A#3 I1 48, 6, 15, right 8, 34,  35:    |
419, 6, 14, left 8, 35,  36:    |, 6, 15, right 8, 35,  36:    |
420, 6, 14, left 8, 36,  37: A#3 I1 48, 6, 15, right 8, 36,  37:    |
421, 6, 14, left 8, 37,  38:    |, 6, 15, right 8, 37,  38:   ---
422, 6, 14, left 8, 38,  39: C-4 I1 46, 6, 15, right 8, 38,  39: G#2 I2 14
423, 6, 14, left 8, 39,  40:    |, 6, 15, right 8, 39,  40:    |
424, 6, 14, left 8, 40,  41: C#4 I1 45, 6, 15, right 8, 40,  41:    |
425, 6, 14, left 8, 41,  42:    |, 6, 15, right 8, 41,  42:    |
426, 6, 14, left 8, 42,  43: A#3 I1 48, 6, 15, right 8, 42,  43:    |
427, 6, 14, left 8, 43,  44:    |, 6, 15, right 8, 43,  44:   ---
428, 6, 14, left 8, 44,  45: G#3 I1 50, 6, 15, right 8, 44,  45:    |
429, 6, 14, left 8, 45,  46:    |, 6, 15, right 8, 45,  46:    |
430, 6, 14, left 8, 46,  47:    |, 6, 15, right 8, 46,  47:    |
431, 6, 14, left 8, 47,  48:    |, 6, 15, right 8, 47,  48:    |
432, 6, 14, left 8, 48,  49:    |, 6, 15, right 8, 48,  49: F-2 I2 17
433, 6, 14, left 8, 49,  50:   ---, 6, 15, right 8, 49,  50:    |
434, 6, 14, left 8, 50,  51: D#4 I1 44, 6, 15, right 8, 50,  51:    |
435, 6, 14, left 8, 51,  52:    |, 6, 15, right 8, 51,  52:    |
436, 6, 14, left 8, 52,  53: F-4 I1 42, 6, 15, right 8, 52,  53:    |
437, 6, 14, left 8, 53,  54:    |, 6, 15, right 8, 53,  54:   ---
438, 6, 14, left 8, 54,  55: F-4 I1 42, 6, 15, right 8, 54,  55: F#2 I2 16
439, 6, 14, left 8, 55,  56:    |, 6, 15, right 8, 55,  56:    |
440, 6, 14, left 8, 56,  57:    |, 6, 15, right 8, 56,  57:    |
441, 6, 14, left 8, 57,  58:    |, 6, 15, right 8, 57,  58:    |
442, 6, 14, left 8, 58,  59: D#4 I1 44, 6, 15, right 8, 58,  59:    |
443, 6, 14, left 8, 59,  60:    |, 6, 15, right 8, 59,  60:   ---
444, 6, 14, left 8, 60,  61:    |, 6, 15, right 8, 60,  61:    |
445, 6, 14, left 8, 61,  62:    |, 6, 15, right 8, 61,  62:    |
446, 6, 14, left 8, 62,  63:    |, 6, 15, right 8, 62,  63:    |
447, 6, 14, left 8, 63,  64:    |, 6, 15, right 8, 63,  64:    |
448, 7, 8, left 4, 0,   1: C#4 I1 45, 7, 9, right 4, 0,   1: A#1 I2 26
449, 7, 8, left 4, 1,   2:    |, 7, 9, right 4, 1,   2:    |
450, 7, 8, left 4, 2,   3:    |, 7, 9, right 4, 2,   3:    |
451, 7, 8, left 4, 3,   4:    |, 7, 9, right 4, 3,   4:    |
452, 7, 8, left 4, 4,   5:    |, 7, 9, right 4, 4,   5:    |
453, 7, 8, left 4, 5,   6:    |, 7, 9, right 4, 5,   6:   ---
454, 7, 8, left 4, 6,   7:    |, 7, 9, right 4, 6,   7: A#1 I2 26
455, 7, 8, left 4, 7,   8:    |, 7, 9, right 4, 7,   8:    |
456, 7, 8, left 4, 8,   9:    |, 7, 9, right 4, 8,   9:    |
457, 7, 8, left 4, 9,  10:   ---, 7, 9, right 4, 9,  10:    |
458, 7, 8, left 4, 10,  11: D#4 I1 44, 7, 9, right 4, 10,  11:    |
459, 7, 8, left 4, 11,  12:    |, 7, 9, right 4, 11,  12:   ---
460, 7, 8, left 4, 12,  13: F-4 I1 42, 7, 9, right 4, 12,  13:    |
461, 7, 8, left 4, 13,  14:    |, 7, 9, right 4, 13,  14:    |
462, 7, 8, left 4, 14,  15: C#4 I1 45, 7, 9, right 4, 14,  15:    |
463, 7, 8, left 4, 15,  16:    |, 7, 9, right 4, 15,  16:    |
464, 7, 8, left 4, 16,  17: D#4 I1 44, 7, 9, right 4, 16,  17: G#1 I2 30
465, 7, 8, left 4, 17,  18:    |, 7, 9, right 4, 17,  18:    |
466, 7, 8, left 4, 18,  19: D#4 I1 44, 7, 9, right 4, 18,  19:    |
467, 7, 8, left 4, 19,  20:    |, 7, 9, right 4, 19,  20:    |
468, 7, 8, left 4, 20,  21: D#4 I1 44, 7, 9, right 4, 20,  21:    |
469, 7, 8, left 4, 21,  22:    |, 7, 9, right 4, 21,  22:   ---
470, 7, 8, left 4, 22,  23: F-4 I1 42, 7, 9, right 4, 22,  23: G#1 I2 30
471, 7, 8, left 4, 23,  24:    |, 7, 9, right 4, 23,  24:    |
472, 7, 8, left 4, 24,  25: D#4 I1 44, 7, 9, right 4, 24,  25:    |
473, 7, 8, left 4, 25,  26:    |, 7, 9, right 4, 25,  26:    |
474, 7, 8, left 4, 26,  27:    |, 7, 9, right 4, 26,  27:    |
475, 7, 8, left 4, 27,  28:    |, 7, 9, right 4, 27,  28:   ---
476, 7, 8, left 4, 28,  29: G#3 I1 50, 7, 9, right 4, 28,  29:    |
477, 7, 8, left 4, 29,  30:    |, 7, 9, right 4, 29,  30:    |
478, 7, 8, left 4, 30,  31:    |, 7, 9, right 4, 30,  31:    |
479, 7, 8, left 4, 31,  32:    |, 7, 9, right 4, 31,  32:    |
480, 7, 8, left 4, 32,  33:   ---, 7, 9, right 4, 32,  33: A#1 I2 26
481, 7, 8, left 4, 33,  34:    |, 7, 9, right 4, 33,  34:    |
482, 7, 8, left 4, 34,  35:    |, 7, 9, right 4, 34,  35:    |
483, 7, 8, left 4, 35,  36:    |, 7, 9, right 4, 35,  36:    |
484, 7, 8, left 4, 36,  37:    |, 7, 9, right 4, 36,  37:    |
485, 7, 8, left 4, 37,  38:    |, 7, 9, right 4, 37,  38:   ---
486, 7, 8, left 4, 38,  39:    |, 7, 9, right 4, 38,  39: A#1 I2 26
487, 7, 8, left 4, 39,  40:    |, 7, 9, right 4, 39,  40:    |
488, 7, 8, left 4, 40,  41: A#3 I1 48, 7, 9, right 4, 40,  41:    |
489, 7, 8, left 4, 41,  42:    |, 7, 9, right 4, 41,  42:    |
490, 7, 8, left 4, 42,  43: C-4 I1 46, 7, 9, right 4, 42,  43:    |
491, 7, 8, left 4, 43,  44:    |, 7, 9, right 4, 43,  44:   ---
492, 7, 8, left 4, 44,  45: C#4 I1 45, 7, 9, right 4, 44,  45:    |
493, 7, 8, left 4, 45,  46:    |, 7, 9, right 4, 45,  46:    |
494, 7, 8, left 4, 46,  47: A#3 I1 48, 7, 9, right 4, 46,  47:    |
495, 7, 8, left 4, 47,  48:    |, 7, 9, right 4, 47,  48:    |
496, 7, 8, left 4, 48,  49:    |, 7, 9, right 4, 48,  49: G#1 I2 30
497, 7, 8, left 4, 49,  50:    |, 7, 9, right 4, 49,  50:    |
498, 7, 8, left 4, 50,  51: D#4 I1 44, 7, 9, right 4, 50,  51:    |
499, 7, 8, left 4, 51,  52:    |, 7, 9, right 4, 51,  52:    |
500, 7, 8, left 4, 52,  53: F-4 I1 42, 7, 9, right 4, 52,  53:    |
501, 7, 8, left 4, 53,  54:    |, 7, 9, right 4, 53,  54:   ---
502, 7, 8, left 4, 54,  55: D#4 I1 44, 7, 9, right 4, 54,  55: G#1 I2 30
503, 7, 8, left 4, 55,  56:    |, 7, 9, right 4, 55,  56:    |
504, 7, 8, left 4, 56,  57:    |, 7, 9, right 4, 56,  57:    |
505, 7, 8, left 4, 57,  58:    |, 7, 9, right 4, 57,  58:    |
506, 7, 8, left 4, 58,  59:    |, 7, 9, right 4, 58,  59:    |
507, 7, 8, left 4, 59,  60:   ---, 7, 9, right 4, 59,  60:   ---
508, 7, 8, left 4, 60,  61: G#3 I1 50, 7, 9, right 4, 60,  61:    |
509, 7, 8, left 4, 61,  62: G#3 I1 50, 7, 9, right 4, 61,  62:    |
510, 7, 8, left 4, 62,  63: G#3 I1 50, 7, 9, right 4, 62,  63:    |
511, 7, 8, left 4, 63,  64: A#3 I1 48, 7, 9, right 4, 63,  64:    |
512, 8, 0, left 5, 0,   1: F-4 I1 42, 8, 1, right 5, 0,   1: F#2 I2 16
513, 8, 0, left 5, 1,   2:    |, 8, 1, right 5, 1,   2:    |
514, 8, 0, left 5, 2,   3:    |, 8, 1, right 5, 2,   3:    |
515, 8, 0, left 5, 3,   4: F-4 I1 42, 8, 1, right 5, 3,   4:    |
516, 8, 0, left 5, 4,   5:    |, 8, 1, right 5, 4,   5:    |
517, 8, 0, left 5, 5,   6:    |, 8, 1, right 5, 5,   6:   ---
518, 8, 0, left 5, 6,   7: D#4 I1 44, 8, 1, right 5, 6,   7: G#2 I2 14
519, 8, 0, left 5, 7,   8:    |, 8, 1, right 5, 7,   8:    |
520, 8, 0, left 5, 8,   9:    |, 8, 1, right 5, 8,   9:    |
521, 8, 0, left 5, 9,  10:    |, 8, 1, right 5, 9,  10:    |
522, 8, 0, left 5, 10,  11:    |, 8, 1, right 5, 10,  11:    |
523, 8, 0, left 5, 11,  12:    |, 8, 1, right 5, 11,  12:   ---
524, 8, 0, left 5, 12,  13: G#3 I1 50, 8, 1, right 5, 12,  13:    |
525, 8, 0, left 5, 13,  14: G#3 I1 50, 8, 1, right 5, 13,  14:    |
526, 8, 0, left 5, 14,  15: A#3 I1 48, 8, 1, right 5, 14,  15:    |
527, 8, 0, left 5, 15,  16: G#3 I1 50, 8, 1, right 5, 15,  16:    |
528, 8, 0, left 5, 16,  17: D#4 I1 44, 8, 1, right 5, 16,  17: F-2 I2 17
529, 8, 0, left 5, 17,  18:    |, 8, 1, right 5, 17,  18:    |
530, 8, 0, left 5, 18,  19:    |, 8, 1, right 5, 18,  19:    |
531, 8, 0, left 5, 19,  20: D#4 I1 44, 8, 1, right 5, 19,  20:    |
532, 8, 0, left 5, 20,  21:    |, 8, 1, right 5, 20,  21:    |
533, 8, 0, left 5, 21,  22:    |, 8, 1, right 5, 21,  22:   ---
534, 8, 0, left 5, 22,  23: C#4 I1 45, 8, 1, right 5, 22,  23: F#2 I2 16
535, 8, 0, left 5, 23,  24:    |, 8, 1, right 5, 23,  24:    |
536, 8, 0, left 5, 24,  25:    |, 8, 1, right 5, 24,  25:    |
537, 8, 0, left 5, 25,  26:    |, 8, 1, right 5, 25,  26:    |
538, 8, 0, left 5, 26,  27:    |, 8, 1, right 5, 26,  27:    |
539, 8, 0, left 5, 27,  28:    |, 8, 1, right 5, 27,  28:   ---
540, 8, 0, left 5, 28,  29: G#3 I1 50, 8, 1, right 5, 28,  29:    |
541, 8, 0, left 5, 29,  30: G#3 I1 50, 8, 1, right 5, 29,  30:    |
542, 8, 0, left 5, 30,  31: A#3 I1 48, 8, 1, right 5, 30,  31:    |
543, 8, 0, left 5, 31,  32: G#3 I1 50, 8, 1, right 5, 31,  32:    |
544, 8, 0, left 5, 32,  33: C#4 I1 45, 8, 1, right 5, 32,  33: F#2 I2 16
545, 8, 0, left 5, 33,  34:    |, 8, 1, right 5, 33,  34:    |
546, 8, 0, left 5, 34,  35:    |, 8, 1, right 5, 34,  35:    |
547, 8, 0, left 5, 35,  36:    |, 8, 1, right 5, 35,  36:    |
548, 8, 0, left 5, 36,  37: D#4 I1 44, 8, 1, right 5, 36,  37:    |
549, 8, 0, left 5, 37,  38:    |, 8, 1, right 5, 37,  38:   ---
550, 8, 0, left 5, 38,  39: C-4 I1 46, 8, 1, right 5, 38,  39: G#2 I2 14
551, 8, 0, left 5, 39,  40:    |, 8, 1, right 5, 39,  40:    |
552, 8, 0, left 5, 40,  41:    |, 8, 1, right 5, 40,  41:    |
553, 8, 0, left 5, 41,  42: A#3 I1 48, 8, 1, right 5, 41,  42:    |
554, 8, 0, left 5, 42,  43: G#3 I1 50, 8, 1, right 5, 42,  43:    |
555, 8, 0, left 5, 43,  44:    |, 8, 1, right 5, 43,  44:   ---
556, 8, 0, left 5, 44,  45:    |, 8, 1, right 5, 44,  45:    |
557, 8, 0, left 5, 45,  46:    |, 8, 1, right 5, 45,  46:    |
558, 8, 0, left 5, 46,  47: G#3 I1 50, 8, 1, right 5, 46,  47:    |
559, 8, 0, left 5, 47,  48:    |, 8, 1, right 5, 47,  48:    |
560, 8, 0, left 5, 48,  49: D#4 I1 44, 8, 1, right 5, 48,  49: F-2 I2 17
561, 8, 0, left 5, 49,  50:    |, 8, 1, right 5, 49,  50:    |
562, 8, 0, left 5, 50,  51:    |, 8, 1, right 5, 50,  51:    |
563, 8, 0, left 5, 51,  52:    |, 8, 1, right 5, 51,  52:    |
564, 8, 0, left 5, 52,  53: C#4 I1 45, 8, 1, right 5, 52,  53:    |
565, 8, 0, left 5, 53,  54:    |, 8, 1, right 5, 53,  54:   ---
566, 8, 0, left 5, 54,  55:    |, 8, 1, right 5, 54,  55: F#2 I2 16
567, 8, 0, left 5, 55,  56:    |, 8, 1, right 5, 55,  56:    |
568, 8, 0, left 5, 56,  57:    |, 8, 1, right 5, 56,  57:    |
569, 8, 0, left 5, 57,  58:    |, 8, 1, right 5, 57,  58:    |
570, 8, 0, left 5, 58,  59:    |, 8, 1, right 5, 58,  59:    |
571, 8, 0, left 5, 59,  60:    |, 8, 1, right 5, 59,  60:   ---
572, 8, 0, left 5, 60,  61: G#3 I1 50, 8, 1, right 5, 60,  61:    |
573, 8, 0, left 5, 61,  62: G#3 I1 50, 8, 1, right 5, 61,  62:    |
574, 8, 0, left 5, 62,  63: A#3 I1 48, 8, 1, right 5, 62,  63:    |
575, 8, 0, left 5, 63,  64: G#3 I1 50, 8, 1, right 5, 63,  64:    |
576, 9, 2, left 9, 0,   1: F-4 I1 42, 9, 3, right 9, 0,   1: F#2 I2 16
577, 9, 2, left 9, 1,   2:    |, 9, 3, right 9, 1,   2:    |
578, 9, 2, left 9, 2,   3:    |, 9, 3, right 9, 2,   3:    |
579, 9, 2, left 9, 3,   4: F-4 I1 42, 9, 3, right 9, 3,   4:    |
580, 9, 2, left 9, 4,   5:    |, 9, 3, right 9, 4,   5:    |
581, 9, 2, left 9, 5,   6:    |, 9, 3, right 9, 5,   6:   ---
582, 9, 2, left 9, 6,   7: D#4 I1 44, 9, 3, right 9, 6,   7: G#2 I2 14
583, 9, 2, left 9, 7,   8:    |, 9, 3, right 9, 7,   8:    |
584, 9, 2, left 9, 8,   9:    |, 9, 3, right 9, 8,   9:    |
585, 9, 2, left 9, 9,  10:    |, 9, 3, right 9, 9,  10:    |
586, 9, 2, left 9, 10,  11:    |, 9, 3, right 9, 10,  11:    |
587, 9, 2, left 9, 11,  12:    |, 9, 3, right 9, 11,  12:   ---
588, 9, 2, left 9, 12,  13: G#3 I1 50, 9, 3, right 9, 12,  13:    |
589, 9, 2, left 9, 13,  14: G#3 I1 50, 9, 3, right 9, 13,  14:    |
590, 9, 2, left 9, 14,  15: A#3 I1 48, 9, 3, right 9, 14,  15:    |
591, 9, 2, left 9, 15,  16: G#3 I1 50, 9, 3, right 9, 15,  16:    |
592, 9, 2, left 9, 16,  17: G#4 I1 28, 9, 3, right 9, 16,  17: F-2 I2 17
593, 9, 2, left 9, 17,  18:    |, 9, 3, right 9, 17,  18:    |
594, 9, 2, left 9, 18,  19:    |, 9, 3, right 9, 18,  19:    |
595, 9, 2, left 9, 19,  20:    |, 9, 3, right 9, 19,  20:    |
596, 9, 2, left 9, 20,  21: C-4 I1 46, 9, 3, right 9, 20,  21:    |
597, 9, 2, left 9, 21,  22:    |, 9, 3, right 9, 21,  22:   ---
598, 9, 2, left 9, 22,  23: C#4 I1 45, 9, 3, right 9, 22,  23: F#2 I2 16
599, 9, 2, left 9, 23,  24: C-4 I1 46, 9, 3, right 9, 23,  24:    |
600, 9, 2, left 9, 24,  25: A#3 I1 48, 9, 3, right 9, 24,  25:    |
601, 9, 2, left 9, 25,  26:    |, 9, 3, right 9, 25,  26:    |
602, 9, 2, left 9, 26,  27:    |, 9, 3, right 9, 26,  27:    |
603, 9, 2, left 9, 27,  28:    |, 9, 3, right 9, 27,  28:   ---
604, 9, 2, left 9, 28,  29: G#3 I1 50, 9, 3, right 9, 28,  29:    |
605, 9, 2, left 9, 29,  30: G#3 I1 50, 9, 3, right 9, 29,  30:    |
606, 9, 2, left 9, 30,  31: A#3 I1 48, 9, 3, right 9, 30,  31:    |
607, 9, 2, left 9, 31,  32: G#3 I1 50, 9, 3, right 9, 31,  32:    |
608, 9, 2, left 9, 32,  33: C#4 I1 45, 9, 3, right 9, 32,  33: F#2 I2 16
609, 9, 2, left 9, 33,  34:    |, 9, 3, right 9, 33,  34:    |
610, 9, 2, left 9, 34,  35:    |, 9, 3, right 9, 34,  35:    |
611, 9, 2, left 9, 35,  36:    |, 9, 3, right 9, 35,  36:    |
612, 9, 2, left 9, 36,  37: D#4 I1 44, 9, 3, right 9, 36,  37:    |
613, 9, 2, left 9, 37,  38:    |, 9, 3, right 9, 37,  38:   ---
614, 9, 2, left 9, 38,  39: C-4 I1 46, 9, 3, right 9, 38,  39: G#2 I2 14
615, 9, 2, left 9, 39,  40:    |, 9, 3, right 9, 39,  40:    |
616, 9, 2, left 9, 40,  41:    |, 9, 3, right 9, 40,  41:    |
617, 9, 2, left 9, 41,  42: A#3 I1 48, 9, 3, right 9, 41,  42:    |
618, 9, 2, left 9, 42,  43: G#3 I1 50, 9, 3, right 9, 42,  43:    |
619, 9, 2, left 9, 43,  44:    |, 9, 3, right 9, 43,  44:   ---
620, 9, 2, left 9, 44,  45:    |, 9, 3, right 9, 44,  45:    |
621, 9, 2, left 9, 45,  46:    |, 9, 3, right 9, 45,  46:    |
622, 9, 2, left 9, 46,  47: G#3 I1 50, 9, 3, right 9, 46,  47:    |
623, 9, 2, left 9, 47,  48:    |, 9, 3, right 9, 47,  48:    |
624, 9, 2, left 9, 48,  49: D#4 I1 44, 9, 3, right 9, 48,  49: F-2 I2 17
625, 9, 2, left 9, 49,  50:    |, 9, 3, right 9, 49,  50:    |
626, 9, 2, left 9, 50,  51:    |, 9, 3, right 9, 50,  51:    |
627, 9, 2, left 9, 51,  52:    |, 9, 3, right 9, 51,  52:    |
628, 9, 2, left 9, 52,  53: C#4 I1 45, 9, 3, right 9, 52,  53:    |
629, 9, 2, left 9, 53,  54:    |, 9, 3, right 9, 53,  54:   ---
630, 9, 2, left 9, 54,  55:    |, 9, 3, right 9, 54,  55: F#2 I2 16
631, 9, 2, left 9, 55,  56:    |, 9, 3, right 9, 55,  56:    |
632, 9, 2, left 9, 56,  57:    |, 9, 3, right 9, 56,  57:    |
633, 9, 2, left 9, 57,  58:    |, 9, 3, right 9, 57,  58:    |
634, 9, 2, left 9, 58,  59:   ---, 9, 3, right 9, 58,  59:    |
635, 9, 2, left 9, 59,  60:    |, 9, 3, right 9, 59,  60:   ---
636, 9, 2, left 9, 60,  61: G#3 I1 50, 9, 3, right 9, 60,  61:    |
637, 9, 2, left 9, 61,  62: G#3 I1 50, 9, 3, right 9, 61,  62:    |
638, 9, 2, left 9, 62,  63: A#3 I1 48, 9, 3, right 9, 62,  63:    |
